=== LAP SUMMARY ===
Lap,Lap Time,Sector 1,Sector 2,Sector 3,Max Speed (km/h),Avg Speed (km/h),Max Throttle (%),Max Brake (%),Max RPM,Avg RPM,ABS Events,TC Events
1,1:29.898,0:30.000,0:30.000,0:29.898,285.5,192.2,100.0,99.2,7962,5911,142,371
2,1:30.050,--:--.---,--:--.---,1:30.050,220.6,220.6,72.2,0.0,6777,6777,0,0
2,1:29.988,0:30.000,0:30.000,0:29.988,288.5,198.7,100.0,99.5,8000,6027,137,392


=== RAW TELEMETRY ===
lap,dist_m,lap_time,speed_kmh,throttle_%,brake_%,steer_deg,rpm,gear,abs_%,tc_%
1,1408.9,0:25.360,146.3,36.7,63.3,-128.97,5098,3,26.2,0.0
1,1414.6,0:25.463,150.4,38.6,61.4,-125.94,5250,3,29.8,0.0
1,1423.1,0:25.615,156.4,41.5,58.5,-120.9,5468,4,0.0,0.0
1,1428.7,0:25.717,160.4,43.4,56.6,-117.17,5605,4,0.0,0.0
1,1434.4,0:25.820,164.5,45.4,54.6,-113.13,5733,4,0.0,0.0
1,1440.1,0:25.921,168.5,47.3,52.7,-108.91,5846,4,0.0,0.0
1,1445.7,0:26.023,172.5,49.2,50.8,-104.42,5946,4,0.0,0.0
1,1451.4,0:26.126,176.6,51.2,48.8,-99.65,6032,4,0.0,0.0
1,1459.9,0:26.278,182.6,54.0,46.0,-92.24,6128,4,0.0,0.0
1,1465.6,0:26.381,186.6,56.0,44.0,-87.0,6174,4,0.0,0.0
1,1471.3,0:26.483,190.7,57.9,42.1,-81.65,6205,4,0.0,0.0
1,1476.9,0:26.585,194.7,59.8,40.2,-76.16,6223,4,0.0,0.0
1,1482.7,0:26.688,198.7,61.8,38.2,-70.51,6230,4,0.0,0.0
1,1488.3,0:26.790,202.8,63.7,36.3,-64.82,6230,4,0.0,0.0
1,1496.8,0:26.943,176.4,70.2,0.0,-56.15,5644,4,0.0,0.0
1,1502.5,0:27.045,175.6,70.3,0.0,-50.33,5550,4,0.0,0.0
1,1508.2,0:27.147,174.9,70.6,0.0,-44.49,5461,4,0.0,0.0
1,1513.9,0:27.250,174.4,70.9,0.0,-38.6,5380,4,0.0,0.0
1,1519.6,0:27.352,174.0,71.3,0.0,-32.8,5310,4,0.0,0.0
1,1528.1,0:27.505,173.7,72.1,0.0,-24.2,5231,4,0.0,0.0
1,1533.8,0:27.608,173.6,72.6,0.0,-18.52,5199,4,0.0,0.0
1,1539.4,0:27.709,173.6,73.2,0.0,-13.05,5183,4,0.0,0.0
1,1545.1,0:27.811,173.8,73.9,0.0,-7.65,5185,4,0.0,0.0
1,1550.8,0:27.914,174.0,74.7,0.0,-2.34,5205,4,0.0,0.0
1,1556.4,0:28.015,174.4,75.4,0.0,2.7,5241,4,0.0,10.0
1,1564.9,0:28.169,174.9,76.7,0.0,10.04,5323,4,0.0,10.0
1,1570.6,0:28.271,175.4,77.6,0.0,14.64,5393,4,0.0,10.0
1,1576.3,0:28.373,175.8,78.5,0.0,19.02,5472,4,0.0,10.0
1,1582.0,0:28.476,176.3,79.5,0.0,23.21,5556,4,0.0,10.0
1,1587.7,0:28.578,176.7,80.5,0.0,27.11,5644,4,0.0,10.0
1,1596.2,0:28.731,177.3,82.0,0.0,32.46,5772,4,0.0,10.0
1,1601.8,0:28.832,177.6,83.0,0.0,35.67,5850,4,0.0,10.0
1,1607.5,0:28.935,177.8,84.1,0.0,38.65,5919,4,0.0,10.0
1,1613.2,0:29.037,178.0,85.1,0.0,41.31,5977,4,0.0,10.0
1,1618.8,0:29.138,178.1,86.2,0.0,43.66,6019,4,0.0,10.0
1,1627.3,0:29.292,177.9,87.7,0.0,46.68,6053,4,0.0,10.0
1,1632.9,0:29.393,177.7,88.8,0.0,48.29,6053,4,0.0,10.0
1,1638.7,0:29.496,177.4,89.8,0.0,49.63,6035,4,0.0,10.0
1,1644.3,0:29.598,176.9,90.8,0.0,50.67,5999,4,0.0,10.0
1,1652.9,0:29.752,176.0,92.2,0.0,51.68,5915,4,0.0,10.0
1,1658.5,0:29.853,175.2,93.1,0.0,51.99,5841,4,0.0,10.0
1,1664.2,0:29.955,174.3,93.9,0.0,52.03,5756,4,0.0,10.0
1,1669.9,0:30.058,173.3,94.8,0.0,51.8,5663,4,0.0,10.0
1,1678.3,0:30.210,171.7,95.9,0.0,50.98,5514,4,0.0,10.0
1,1684.1,0:30.313,170.5,96.6,0.0,50.12,5414,4,0.0,10.0
1,1689.7,0:30.415,169.2,97.2,0.0,49.04,5317,4,0.0,10.0
1,1695.3,0:30.516,167.9,97.8,0.0,47.76,5227,4,0.0,10.0
1,1701.1,0:30.619,166.5,98.3,0.0,46.26,5146,4,0.0,10.0
1,1709.5,0:30.771,164.5,99.0,0.0,43.7,5048,4,0.0,10.0
1,1715.2,0:30.873,163.1,99.3,0.0,41.8,5001,4,0.0,10.0
1,1720.9,0:30.976,161.7,99.6,0.0,39.73,4969,4,0.0,10.0
1,1726.6,0:31.078,160.4,99.8,0.0,37.57,4955,4,0.0,10.0
1,1735.1,0:31.231,158.6,100.0,0.0,34.15,4965,4,0.0,10.0
1,1740.7,0:31.332,157.5,100.0,0.0,31.8,4991,4,0.0,10.0
1,1746.4,0:31.435,156.4,99.9,0.0,29.37,5030,4,0.0,10.0
1,1752.0,0:31.536,155.5,99.8,0.0,26.95,5082,3,0.0,10.0
1,1760.6,0:31.690,154.4,99.5,0.0,23.26,5175,3,0.0,10.0
1,1766.2,0:31.792,153.8,99.2,0.0,20.84,5244,3,0.0,10.0
1,1771.8,0:31.893,153.4,98.8,0.0,18.5,5315,3,0.0,10.0
1,1777.6,0:31.996,153.0,98.4,0.0,16.17,5385,3,0.0,10.0
1,1783.2,0:32.098,152.9,97.9,0.0,13.96,5451,3,0.0,10.0
1,1791.7,0:32.251,152.9,97.0,0.0,10.84,5536,3,0.0,10.0
1,1797.4,0:32.353,153.1,96.3,0.0,8.92,5580,3,0.0,10.0
1,1803.0,0:32.454,153.4,95.6,0.0,7.18,5611,3,0.0,10.0
1,1808.7,0:32.557,153.9,94.9,0.0,5.56,5630,3,0.0,10.0
1,1817.2,0:32.710,154.8,93.6,0.0,3.52,5632,3,0.0,10.0
1,1822.9,0:32.812,155.5,92.8,0.0,2.41,5616,3,0.0,10.0
1,1828.6,0:32.915,156.3,91.8,0.0,1.51,5587,4,0.0,10.0
1,1834.2,0:33.016,157.2,90.9,0.0,0.85,5547,4,0.0,10.0
1,1842.8,0:33.170,158.6,89.4,0.0,0.31,5470,4,0.0,10.0
1,1848.4,0:33.272,159.6,88.4,0.0,0.27,5411,4,0.0,10.0
1,1854.1,0:33.373,160.5,87.4,0.0,0.49,5349,4,0.0,10.0
1,1859.7,0:33.474,161.5,86.3,0.0,0.97,5287,4,0.0,10.0
1,1865.4,0:33.577,162.4,85.3,0.0,1.73,5227,4,0.0,10.0
1,1873.8,0:33.729,163.8,83.7,0.0,3.37,5149,4,0.0,10.0
1,1879.6,0:33.832,164.6,82.7,0.0,4.82,5107,4,0.0,10.0
1,1885.2,0:33.934,165.3,81.6,0.0,6.54,5077,4,0.0,10.0
1,1890.9,0:34.037,166.0,80.6,0.0,8.55,5059,4,0.0,10.0
1,1899.4,0:34.190,166.7,79.1,0.0,12.03,5058,4,0.0,10.0
1,1905.1,0:34.292,167.1,78.2,0.0,14.68,5075,4,0.0,10.0
1,1910.8,0:34.395,167.4,77.3,0.0,17.61,5105,4,0.0,10.0
1,1916.4,0:34.496,167.5,76.4,0.0,20.72,5148,4,0.0,10.0
1,1925.0,0:34.650,167.5,75.1,0.0,25.9,5231,4,0.0,10.0
1,1930.7,0:34.752,167.3,74.4,0.0,29.59,5296,4,0.0,0.0
1,1936.3,0:34.853,167.0,73.7,0.0,33.45,5367,4,0.0,0.0
1,1942.0,0:34.956,166.6,73.0,0.0,37.56,5439,4,0.0,0.0
1,1950.4,0:35.108,165.9,72.1,0.0,43.94,5544,4,0.0,0.0
1,1956.2,0:35.211,165.2,71.6,0.0,48.45,5608,4,0.0,0.0
1,1961.8,0:35.313,164.6,71.2,0.0,53.04,5664,4,0.0,0.0
1,1970.3,0:35.466,163.4,70.6,0.0,60.1,5726,4,0.0,0.0
1,1976.1,0:35.569,162.6,70.4,0.0,64.96,5752,4,0.0,0.0
1,1981.7,0:35.671,161.8,70.2,0.0,69.82,5762,4,0.0,0.0
1,1987.3,0:35.772,161.0,70.1,0.0,74.66,5757,4,0.0,0.0
1,1995.9,0:35.926,159.9,70.0,0.0,82.06,5720,4,0.0,0.0
